pk,jsondata,name,description,markup_description,id,type,lang
1,,orm,,,orm,iso639-3,en
2,,kwe,,,kwe,iso639-3,en
4,,acm,,,acm,iso639-3,en
6,,est,,,est,iso639-3,en
8,,chx,,,chx,iso639-3,en
10,,khr,,,khr,iso639-3,en
12,,ruq,,,ruq,iso639-3,en
14,,mhj,,,mhj,iso639-3,en
16,,bul,,,bul,iso639-3,en
18,,bjn,,,bjn,iso639-3,en
20,,ess,,,ess,iso639-3,en
22,,siz,,,siz,iso639-3,en
24,,rmy,,,rmy,iso639-3,en
26,,xno,,,xno,iso639-3,en
28,,nep,,,nep,iso639-3,en
30,,fin,,,fin,iso639-3,en
32,,rit,,,rit,iso639-3,en
34,,aln,,,aln,iso639-3,en
36,,wnd,,,wnd,iso639-3,en
38,,sck,,,sck,iso639-3,en
40,,evn,,,evn,iso639-3,en
42,,nln,,,nln,iso639-3,en
44,,cbk,,,cbk,iso639-3,en
46,,sce,,,sce,iso639-3,en
49,,tgk,,,tgk,iso639-3,en
51,,ydd,,,ydd,iso639-3,en
53,,sza,,,sza,iso639-3,en
56,,nhr,,,nhr,iso639-3,en
59,,swe,,,swe,iso639-3,en
61,,qvc,,,qvc,iso639-3,en
63,,mon,,,mon,iso639-3,en
64,,mhr,,,mhr,iso639-3,en
66,,nas,,,nas,iso639-3,en
68,,brh,,,brh,iso639-3,en
73,,nmm,,,nmm,iso639-3,en
77,,ind,,,ind,iso639-3,en
79,,lat,,,lat,iso639-3,en
81,,ndt,,,ndt,iso639-3,en
83,,haw,,,haw,iso639-3,en
85,,sah,,,sah,iso639-3,en
87,,gwj,,,gwj,iso639-3,en
89,,sjd,,,sjd,iso639-3,en
91,,hrt,,,hrt,iso639-3,en
93,,qvn,,,qvn,iso639-3,en
95,,byn,,,byn,iso639-3,en
97,,gue,,,gue,iso639-3,en
99,,bod,,,bod,iso639-3,en
102,,rml,,,rml,iso639-3,en
104,,bgp,,,bgp,iso639-3,en
106,,tdt,,,tdt,iso639-3,en
108,,tae,,,tae,iso639-3,en
110,,uzn,,,uzn,iso639-3,en
112,,tsz,,,tsz,iso639-3,en
114,,tig,,,tig,iso639-3,en
116,,ell,,,ell,iso639-3,en
118,,lav,,,lav,iso639-3,en
120,,eng,,,eng,iso639-3,en
122,,scn,,,scn,iso639-3,en
124,,pes,,,pes,iso639-3,en
126,,hrv,,,hrv,iso639-3,en
128,,wuh,,,wuh,iso639-3,en
130,,cmn,,,cmn,iso639-3,en
132,,poi,,,poi,iso639-3,en
135,,ame,,,ame,iso639-3,en
137,,mud,,,mud,iso639-3,en
139,,ttu,,,ttu,iso639-3,en
142,,apc,,,apc,iso639-3,en
144,,acy,,,acy,iso639-3,en
146,,swh,,,swh,iso639-3,en
148,,car,,,car,iso639-3,en
150,,cpg,,,cpg,iso639-3,en
152,,tur,,,tur,iso639-3,en
154,,dta,,,dta,iso639-3,en
156,,enm,,,enm,iso639-3,en
158,,kmr,,,kmr,iso639-3,en
160,,ksx,,,ksx,iso639-3,en
162,,cho,,,cho,iso639-3,en
164,,aat,,,aat,iso639-3,en
166,,akk,,,akk,iso639-3,en
168,,hin,,,hin,iso639-3,en
172,,sux,,,sux,iso639-3,en
174,,plt,,,plt,iso639-3,en
176,,chv,,,chv,iso639-3,en
178,,hun,,,hun,iso639-3,en
180,,lad,,,lad,iso639-3,en
185,,zlm,,,zlm,iso639-3,en
187,,krl,,,krl,iso639-3,en
189,,qxp,,,qxp,iso639-3,en
191,,gbc,,,gbc,iso639-3,en
193,,rus,,,rus,iso639-3,en
195,,srp,,,srp,iso639-3,en
197,,heb,,,heb,iso639-3,en
199,,cku,,,cku,iso639-3,en
201,,kas,,,kas,iso639-3,en
205,,ckt,,,ckt,iso639-3,en
207,,ayl,,,ayl,iso639-3,en
209,,bnc,,,bnc,iso639-3,en
211,,amw,,,amw,iso639-3,en
213,,tav,,,tav,iso639-3,en
215,,lez,,,lez,iso639-3,en
217,,mlk,,,mlk,iso639-3,en
219,,deu,,,deu,iso639-3,en
221,,tam,,,tam,iso639-3,en
223,,kpv,,,kpv,iso639-3,en
225,,azb,,,azb,iso639-3,en
229,,khk,,,khk,iso639-3,en
231,,eus,,,eus,iso639-3,en
233,,ayr,,,ayr,iso639-3,en
237,,gyd,,,gyd,iso639-3,en
239,,ron,,,ron,iso639-3,en
241,,lin,,,lin,iso639-3,en
245,,rgr,,,rgr,iso639-3,en
247,,ruo,,,ruo,iso639-3,en
249,,ilo,,,ilo,iso639-3,en
251,,nld,,,nld,iso639-3,en
253,,san,,,san,iso639-3,en
255,,cab,,,cab,iso639-3,en
257,,kru,,,kru,iso639-3,en
261,,ctu,,,ctu,iso639-3,en
263,,kca,,,kca,iso639-3,en
267,,nuy,,,nuy,iso639-3,en
269,,mlt,,,mlt,iso639-3,en
271,,asm,,,asm,iso639-3,en
275,,ncl,,,ncl,iso639-3,en
277,,wsa,,,wsa,iso639-3,en
281,,ure,,,ure,iso639-3,en
283,,ycn,,,ycn,iso639-3,en
285,,khc,,,khc,iso639-3,en
287,,nid,,,nid,iso639-3,en
289,,por,,,por,iso639-3,en
291,,ary,,,ary,iso639-3,en
293,,eve,,,eve,iso639-3,en
296,,boa,,,boa,iso639-3,en
298,,spa,,,spa,iso639-3,en
301,,yua,,,yua,iso639-3,en
303,,qua,,,qua,iso639-3,en
