perm.id,Pairs,Recipient language,Donor language,number of borrowed affixes,comparative,superlative,adjectivizer: miscellaneous,adjectivizer: privative,adverbializer,clause-level TAM,clause linking,case: dative,case: ergative,case: non-locative peripheral case,case: locative,gender (human),noun class (inanimate),diminutive,augmentative,definite/indefinite,topic,focus,nominalizer: miscellaneous,nominalizer: agent,nominalizer: abstract,nominalizer: social group,nominalizer: place name,number: plural,number: dual,number: singular,nominal derivation (miscellaneous),possessor indexing,numeral classifier,numeral derivation: ordinals,numeral and quantifier derivation,valency: passive,valency: causative,valency: reflexive,valency: applicative,valency: reciprocal,verbal TAM,verbal derivation (miscellaneous),subject/object indexing,verbalizer,relativizer/subordinator,verbal negation
13,Visayan affixes in Chabacano,Chabacano,Visayan,8,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,2,,
14,Tigre affixes in Bilin,Bilin,Tigre,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
15,Bosnian/Croatian/Serbian affixes in Albanian,Albanian,Bosnian/Croatian/Serbian,14,,,4,,,,,,,,,,,,,,,,6,1,,,2,,,,,,,,,,,,,,,,,1,,
16,Spanish affixes in Cajamarca Quechua,Cajamarca Quechua,Spanish,7,,,3,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
17,Aymara affixes in Uru,Uru,Aymara,6,,,,,,2,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
18,Russian affixes in Israeli Hebrew,Israeli Hebrew,Russian,6,,,,,,,,,,,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,
19,Dutch affixes in Indonesian,Indonesian,Dutch,11,,,2,1,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,
20,Turkish affixes in Cappadocian Greek,Cappadocian Greek,Turkish,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,1,,
21,Greek affixes in Cypriot Arabic,Cypriot Arabic,Greek,5,,,,,,,,,,,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
22,Libyan Arabic affixes in Siwi,Siwi,Libyan Arabic,5,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,
23,Nunggubuyu affixes in Warndarang,Warndarang,Nunggubuyu,5,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Turkish affixes in Albanian,Albanian,Turkish,6,,,1,,,,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,,,,,,,
26,Carib affixes in Garifuna,Garifuna,Carib,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
27,Chuvash affixes in Mari,Mari,Chuvash,12,1,,1,,,,,,,4,,,,,,1,,,,,1,,,,,,,,,1,,,1,1,,,1,,,,,
28,Nepali affixes in Chantyal,Chantyal,Nepali,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
29,Ngandi affixes in Ritharngu,Ritharngu,Ngandi,4,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1
31,Ilokano affixes in Guina‑ang Bontok,Guina‑ang Bontok ,Ilokano,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,
33,Kurdish affixes in Sonqor Turkic,Sonqor Turkic,Kurdish,5,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,
34,Ritharngu affixes in Ngandi,Ngandi,Ritharngu,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Croatian affixes in Istro‑Romanian,Istro‑Romanian,Croatian,9,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
39,Quapaw affixes in Koasati,Koasati,Quapaw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
40,Aramaic affixes in Hasankeyf Arabic,Hasankeyf Arabic,Aramaic,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
41,Tamil affixes in Sri Lanka Portuguese,Sri Lanka Portuguese,Tamil,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
42,Northern Nyungic affixes in Kayardild,Kayardild,Northern Nyungic,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Arabic affixes in Indonesian,Indonesian,Arabic,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sicilian affixes in Maltese,Maltese,Sicilian,8,,,1,,,,,,,,,,,,1,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,,
68,Sadri affixes in Kharia,Kharia,Sadri,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
70,Estonian affixes in Ingrian Finnish,Ingrian Finnish,Estonian,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
72,Swahili affixes in Malagasy,Malagasy,Swahili,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
73,Banjar Malay affixes in Malagasy,Malagasy,Banjar Malay,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,
75,intermediate Proto‑Carib affixes in Wayampi‑Emerillon‑Zo’é ,Wayampi‑Emerillon‑Zo’é ,intermediate Proto‑Carib,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
77,English affixes in Hawaiian,Hawaiian,English,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
78,Russian affixes in Kola Saami,Kola Saami,Russian,5,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,1,,,,,
82,Turkish affixes in Kurmanji,Kurmanji,Turkish,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Nepali affixes in Manange,Manange,Nepali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
