ID,Name,Source,Description,Donor_ID,Recipient_ID,Macroarea,Count_Borrowed
23,Nunggubuyu affixes in Warndarang,heath1978a;heath1980a;heath1984a,23-md,nunggubuyunuy,warndarangwnd,Australia,5
25,Turkish affixes in Albanian,boretzky1975a;fiedler1977a;gardani2008a;genesin2016a;hadzhieva2012a;orel1998a;xhuvani1962a,25-md,turkishtur,albanianaln,Eurasia,6
26,Carib affixes in Garifuna,derbyshire1999a;escure2004a;escure2012a;grant2010a;hoff1986a;pet2011a;pury2001a;pury2005a;taylor1954a;taylor1956a;taylor1959a;taylor1977a;taylor1980a,26-md,caribcar,garifunacab,South America,2
27,Chuvash affixes in Mari,beke1911a;bereczki1979a;bereczki1993a;bereczki2002a;budenz1864a;galkin1964a;kangasmaa_minn1998a;maegiste1968a;raun1971a;wiedemann1847a,27-md,chuvashchv,marimhr,Eurasia,12
28,Nepali affixes in Chantyal,noonan1996a;noonan2003a;noonan2005a;noonan2008a,28-md,nepalinep,chantyalchx,Eurasia,6
29,Ngandi affixes in Ritharngu,heath1978a;heath1980b,29-md,ngandinid,ritharngurit,Australia,4
31,Ilokano affixes in Guina-ang Bontok,,31-md,ilokanoilo,guinaangbontokbnc,Papunesia,3
33,Kurdish affixes in Sonqor Turkic,blau1980a;bulu1975a;bulut2005a;bulut2007a;bulut2014a;kossmann2011a,33-md,kurdishkmr,sonqorturkictur,Eurasia,5
34,Ritharngu affixes in Ngandi,heath1978a;heath1978b,34-md,ritharngurit,ngandinid,Australia,2
37,Croatian affixes in Istro-Romanian,boretzky2004a;breu1992a;breu1996a;dahmen1989a;gardani2008a;gardani2015a;gardani2020a;hurren1969a;kova1971a;loporcaro2018a;loporcaro2021a;pu1943a;rozencvejg1976a;sala1988a,37-md,croatianhrv,istroromanianruo,Eurasia,9
39,Quapaw affixes in Koasati,rankin1988a,39-md,quapawqua,koasaticku,North America,1
40,Aramaic affixes in Hasankeyf Arabic,diem1971a;jastrow1978a,40-md,aramaichrt,hasankeyfarabicapc,Eurasia,2
41,Tamil affixes in Sri Lanka Portuguese,nordhoff2013a;smith2013a,41-md,tamiltam,srilankaportuguesepor,Eurasia,2
42,Northern Nyungic affixes in Kayardild,evans1995a;round2010a,42-md,northernnyungicnys,kayardildgyd,Australia,1
46,"Arabic affixes in Indonesian, standard",jones1984a;tadmor2009a;verhaar1984a,46-md,arabicarb,indonesianstandardind,Papunesia,1
