ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,Format
31-md,,Comments on Ilokano affixes in Guina-ang Bontok,text/markdown,comments/31.md,,CLDF Markdown
33-md,,Comments on Kurdish affixes in Sonqor Turkic,text/markdown,comments/33.md,,CLDF Markdown
34-md,,Comments on Ritharngu affixes in Ngandi,text/markdown,comments/34.md,,CLDF Markdown
37-md,,Comments on Croatian affixes in Istro-Romanian,text/markdown,comments/37.md,,CLDF Markdown
39-md,,Comments on Quapaw affixes in Koasati,text/markdown,comments/39.md,,CLDF Markdown
40-md,,Comments on Aramaic affixes in Hasankeyf Arabic,text/markdown,comments/40.md,,CLDF Markdown
41-md,,Comments on Tamil affixes in Sri Lanka Portuguese,text/markdown,comments/41.md,,CLDF Markdown
42-md,,Comments on Northern Nyungic affixes in Kayardild,text/markdown,comments/42.md,,CLDF Markdown
46-md,,"Comments on Arabic affixes in Indonesian, standard",text/markdown,comments/46.md,,CLDF Markdown
67-md,,Comments on Sicilian affixes in Maltese,text/markdown,comments/67.md,,CLDF Markdown
68-md,,Comments on Sadri affixes in Kharia,text/markdown,comments/68.md,,CLDF Markdown
70-md,,Comments on Estonian affixes in Ingrian Finnish,text/markdown,comments/70.md,,CLDF Markdown
72-md,,Comments on Swahili affixes in Malagasy,text/markdown,comments/72.md,,CLDF Markdown
73-md,,Comments on Banjar Malay affixes in Malagasy,text/markdown,comments/73.md,,CLDF Markdown
75-md,,Comments on intermediate Proto-Carib affixes in Proto Wayampi-Emerillon-ZoՎ,text/markdown,comments/75.md,,CLDF Markdown
77-md,,Comments on English affixes in Hawaiian,text/markdown,comments/77.md,,CLDF Markdown
78-md,,Comments on Russian affixes in Kola Saami,text/markdown,comments/78.md,,CLDF Markdown
82-md,,Comments on Turkish affixes in Kurmanji,text/markdown,comments/82.md,,CLDF Markdown
83-md,,Comments on Nepali affixes in Manange,text/markdown,comments/83.md,,CLDF Markdown
85-md,,Comments on Russian affixes in Yiddish,text/markdown,comments/85.md,,CLDF Markdown
