ID,Language_ID,Parameter_ID,Value,Pair_ID
8-casenonlocativeperipheralcase,northerntajik,casenonlocativeperipheralcase,2,8
8-caselocative,northerntajik,caselocative,2,8
8-nominalizeragent,northerntajik,nominalizeragent,1,8
8-nominalizerabstract,northerntajik,nominalizerabstract,1,8
8-numeralandquantifierderivation,northerntajik,numeralandquantifierderivation,2,8
10-adjectivizerprivative,indonesian,adjectivizerprivative,1,10
10-nominalizeragent,indonesian,nominalizeragent,2,10
10-nominalderivationmiscellaneous,indonesian,nominalderivationmiscellaneous,15,10
11-numeralderivationordinals,uchurevenki,numeralderivationordinals,1,11
11-verbaltam,uchurevenki,verbaltam,1,11
11-subjectobjectindexing,uchurevenki,subjectobjectindexing,6,11
12-adjectivizermiscellaneous,middleenglish,adjectivizermiscellaneous,1,12
12-nominalizermiscellaneous,middleenglish,nominalizermiscellaneous,3,12
12-nominalizerabstract,middleenglish,nominalizerabstract,4,12
13-adjectivizermiscellaneous,chabacano,adjectivizermiscellaneous,3,13
13-nominalizermiscellaneous,chabacano,nominalizermiscellaneous,1,13
13-numeralderivationordinals,chabacano,numeralderivationordinals,1,13
13-valencyreciprocal,chabacano,valencyreciprocal,1,13
13-verbalizer,chabacano,verbalizer,2,13
14-subjectobjectindexing,bilin,subjectobjectindexing,8,14
15-adjectivizermiscellaneous,albanian,adjectivizermiscellaneous,4,15
15-nominalizermiscellaneous,albanian,nominalizermiscellaneous,6,15
15-nominalizeragent,albanian,nominalizeragent,1,15
15-nominalizerplacename,albanian,nominalizerplacename,2,15
15-verbalizer,albanian,verbalizer,1,15
16-adjectivizermiscellaneous,cajamarcaquechua,adjectivizermiscellaneous,3,16
16-diminutive,cajamarcaquechua,diminutive,1,16
16-nominalizermiscellaneous,cajamarcaquechua,nominalizermiscellaneous,1,16
16-nominalizeragent,cajamarcaquechua,nominalizeragent,2,16
17-clauseleveltam,uru,clauseleveltam,2,17
17-casenonlocativeperipheralcase,uru,casenonlocativeperipheralcase,2,17
17-caselocative,uru,caselocative,1,17
17-numberplural,uru,numberplural,1,17
18-diminutive,israelihebrew,diminutive,1,18
18-nominalizeragent,israelihebrew,nominalizeragent,3,18
18-nominalizerabstract,israelihebrew,nominalizerabstract,2,18
19-adjectivizermiscellaneous,indonesian,adjectivizermiscellaneous,2,19
19-adjectivizerprivative,indonesian,adjectivizerprivative,1,19
19-nominalizerabstract,indonesian,nominalizerabstract,3,19
19-nominalderivationmiscellaneous,indonesian,nominalderivationmiscellaneous,5,19
20-nominalizermiscellaneous,cappadociangreek,nominalizermiscellaneous,1,20
20-valencycausative,cappadociangreek,valencycausative,1,20
20-subjectobjectindexing,cappadociangreek,subjectobjectindexing,2,20
20-verbalizer,cappadociangreek,verbalizer,1,20
21-genderhuman,cypriotarabic,genderhuman,2,21
21-diminutive,cypriotarabic,diminutive,1,21
21-numberplural,cypriotarabic,numberplural,2,21
22-comparative,siwi,comparative,1,22
22-superlative,siwi,superlative,1,22
22-nominalizermiscellaneous,siwi,nominalizermiscellaneous,1,22
22-nominalizeragent,siwi,nominalizeragent,1,22
22-verbaltam,siwi,verbaltam,1,22
23-casenonlocativeperipheralcase,warndarang,casenonlocativeperipheralcase,2,23
23-nounclassinanimate,warndarang,nounclassinanimate,3,23
25-adjectivizermiscellaneous,albanian,adjectivizermiscellaneous,1,25
25-nominalizeragent,albanian,nominalizeragent,2,25
25-nominalizerabstract,albanian,nominalizerabstract,1,25
25-nominalizersocialgroup,albanian,nominalizersocialgroup,1,25
25-numberplural,albanian,numberplural,1,25
26-numberplural,garifuna,numberplural,1,26
